Processing...
Done!
Binary class counts: Counter({0: 2108, 1: 2092})
Epoch 174/300, Train Acc: 0.8679, Test Acc: 0.8321
Epoch 175/300, Train Acc: 0.8735, Test Acc: 0.8262
Epoch 176/300, Train Acc: 0.8598, Test Acc: 0.8262
Epoch 177/300, Train Acc: 0.8705, Test Acc: 0.8250
Epoch 178/300, Train Acc: 0.8670, Test Acc: 0.8286
Epoch 179/300, Train Acc: 0.8693, Test Acc: 0.8107
Epoch 180/300, Train Acc: 0.8658, Test Acc: 0.8262
Epoch 181/300, Train Acc: 0.8690, Test Acc: 0.8238
Epoch 182/300, Train Acc: 0.8729, Test Acc: 0.8250
Epoch 183/300, Train Acc: 0.8720, Test Acc: 0.8333
Epoch 184/300, Train Acc: 0.8679, Test Acc: 0.8226
Epoch 185/300, Train Acc: 0.8777, Test Acc: 0.8345
Epoch 186/300, Train Acc: 0.8744, Test Acc: 0.8298
Epoch 187/300, Train Acc: 0.8744, Test Acc: 0.8190
Epoch 188/300, Train Acc: 0.8765, Test Acc: 0.8286
Epoch 189/300, Train Acc: 0.8723, Test Acc: 0.8214
Epoch 190/300, Train Acc: 0.8717, Test Acc: 0.8310
Epoch 191/300, Train Acc: 0.8762, Test Acc: 0.8298
Epoch 192/300, Train Acc: 0.8827, Test Acc: 0.8333
Epoch 193/300, Train Acc: 0.8738, Test Acc: 0.8262
Epoch 194/300, Train Acc: 0.8705, Test Acc: 0.8333
Epoch 195/300, Train Acc: 0.8780, Test Acc: 0.8238
Epoch 196/300, Train Acc: 0.8830, Test Acc: 0.8321
Epoch 197/300, Train Acc: 0.8717, Test Acc: 0.8286
Epoch 198/300, Train Acc: 0.8783, Test Acc: 0.8286
Epoch 199/300, Train Acc: 0.8634, Test Acc: 0.8333
Epoch 200/300, Train Acc: 0.8720, Test Acc: 0.8333
Epoch 201/300, Train Acc: 0.8821, Test Acc: 0.8333
Epoch 202/300, Train Acc: 0.8670, Test Acc: 0.8262
Epoch 203/300, Train Acc: 0.8810, Test Acc: 0.8333
Epoch 204/300, Train Acc: 0.8839, Test Acc: 0.8262
Epoch 205/300, Train Acc: 0.8786, Test Acc: 0.8357
Epoch 206/300, Train Acc: 0.8801, Test Acc: 0.8333
Epoch 207/300, Train Acc: 0.8801, Test Acc: 0.8274
Epoch 208/300, Train Acc: 0.8676, Test Acc: 0.8345
