Processing...
Done!
Binary class counts: Counter({0: 2108, 1: 2092})
Epoch 175/300, Train Acc: 0.8104, Test Acc: 0.7964
Epoch 176/300, Train Acc: 0.8027, Test Acc: 0.8012
Epoch 177/300, Train Acc: 0.8095, Test Acc: 0.7845
Epoch 178/300, Train Acc: 0.8083, Test Acc: 0.7964
Epoch 179/300, Train Acc: 0.8176, Test Acc: 0.7940
Epoch 180/300, Train Acc: 0.8074, Test Acc: 0.7786
Epoch 181/300, Train Acc: 0.8140, Test Acc: 0.7976
Epoch 182/300, Train Acc: 0.8089, Test Acc: 0.7821
Epoch 183/300, Train Acc: 0.8182, Test Acc: 0.8095
Epoch 184/300, Train Acc: 0.8158, Test Acc: 0.7798
Epoch 185/300, Train Acc: 0.8253, Test Acc: 0.8071
Epoch 186/300, Train Acc: 0.8104, Test Acc: 0.8083
Epoch 187/300, Train Acc: 0.8247, Test Acc: 0.7952
Epoch 188/300, Train Acc: 0.8161, Test Acc: 0.8083
Epoch 189/300, Train Acc: 0.8170, Test Acc: 0.8071
Epoch 190/300, Train Acc: 0.8164, Test Acc: 0.8119
Epoch 191/300, Train Acc: 0.8089, Test Acc: 0.8095
Epoch 192/300, Train Acc: 0.8220, Test Acc: 0.8060
Epoch 193/300, Train Acc: 0.8089, Test Acc: 0.8071
Epoch 194/300, Train Acc: 0.8155, Test Acc: 0.7976
Epoch 195/300, Train Acc: 0.8140, Test Acc: 0.8071
Epoch 196/300, Train Acc: 0.8232, Test Acc: 0.8071
Epoch 197/300, Train Acc: 0.8232, Test Acc: 0.8131
Epoch 198/300, Train Acc: 0.8217, Test Acc: 0.7988
Epoch 199/300, Train Acc: 0.8173, Test Acc: 0.8214
Epoch 200/300, Train Acc: 0.8179, Test Acc: 0.7988
Epoch 201/300, Train Acc: 0.8164, Test Acc: 0.8119
Epoch 202/300, Train Acc: 0.8208, Test Acc: 0.8131
Epoch 203/300, Train Acc: 0.8208, Test Acc: 0.8000
Epoch 204/300, Train Acc: 0.8274, Test Acc: 0.8048
Epoch 205/300, Train Acc: 0.8202, Test Acc: 0.7964
Epoch 206/300, Train Acc: 0.8223, Test Acc: 0.7857
Epoch 207/300, Train Acc: 0.8179, Test Acc: 0.8036
Epoch 208/300, Train Acc: 0.8199, Test Acc: 0.8060
Epoch 209/300, Train Acc: 0.8167, Test Acc: 0.8060
Epoch 210/300, Train Acc: 0.8217, Test Acc: 0.8083
Epoch 211/300, Train Acc: 0.8235, Test Acc: 0.8083
Epoch 212/300, Train Acc: 0.8176, Test Acc: 0.7857
Epoch 213/300, Train Acc: 0.8229, Test Acc: 0.8048
Epoch 214/300, Train Acc: 0.8217, Test Acc: 0.8060
Epoch 215/300, Train Acc: 0.8238, Test Acc: 0.7988
Epoch 216/300, Train Acc: 0.8214, Test Acc: 0.8024
Epoch 217/300, Train Acc: 0.8277, Test Acc: 0.8036
Epoch 218/300, Train Acc: 0.8205, Test Acc: 0.8083
Epoch 219/300, Train Acc: 0.8262, Test Acc: 0.8024
Epoch 220/300, Train Acc: 0.8336, Test Acc: 0.8143
Epoch 221/300, Train Acc: 0.8250, Test Acc: 0.8012
Epoch 222/300, Train Acc: 0.8327, Test Acc: 0.8107
Epoch 223/300, Train Acc: 0.8229, Test Acc: 0.7964
Epoch 224/300, Train Acc: 0.8271, Test Acc: 0.8024
Epoch 225/300, Train Acc: 0.8238, Test Acc: 0.7976
Epoch 226/300, Train Acc: 0.8321, Test Acc: 0.8119
Epoch 227/300, Train Acc: 0.8345, Test Acc: 0.8036
Epoch 228/300, Train Acc: 0.8280, Test Acc: 0.8071
Epoch 229/300, Train Acc: 0.8211, Test Acc: 0.8083
Epoch 230/300, Train Acc: 0.8253, Test Acc: 0.8048
Epoch 231/300, Train Acc: 0.8277, Test Acc: 0.8131
Epoch 232/300, Train Acc: 0.8399, Test Acc: 0.8131
Epoch 233/300, Train Acc: 0.8307, Test Acc: 0.8071
Epoch 234/300, Train Acc: 0.8292, Test Acc: 0.8000
Epoch 235/300, Train Acc: 0.8286, Test Acc: 0.8000
Epoch 236/300, Train Acc: 0.8295, Test Acc: 0.8048
Epoch 237/300, Train Acc: 0.8313, Test Acc: 0.8250
Epoch 238/300, Train Acc: 0.8315, Test Acc: 0.7988
Epoch 239/300, Train Acc: 0.8286, Test Acc: 0.8071
Epoch 240/300, Train Acc: 0.8250, Test Acc: 0.8048
Epoch 241/300, Train Acc: 0.8211, Test Acc: 0.8071
Epoch 242/300, Train Acc: 0.8256, Test Acc: 0.8012
Epoch 243/300, Train Acc: 0.8324, Test Acc: 0.8048
Epoch 244/300, Train Acc: 0.8295, Test Acc: 0.8226
Epoch 245/300, Train Acc: 0.8315, Test Acc: 0.8190
Epoch 246/300, Train Acc: 0.8354, Test Acc: 0.8036
Epoch 247/300, Train Acc: 0.8310, Test Acc: 0.8095
Epoch 248/300, Train Acc: 0.8244, Test Acc: 0.8143
Epoch 249/300, Train Acc: 0.8333, Test Acc: 0.8071
Epoch 250/300, Train Acc: 0.8298, Test Acc: 0.8238
Epoch 251/300, Train Acc: 0.8402, Test Acc: 0.8202
Epoch 252/300, Train Acc: 0.8345, Test Acc: 0.8226
Epoch 253/300, Train Acc: 0.8372, Test Acc: 0.8024
Epoch 254/300, Train Acc: 0.8292, Test Acc: 0.8095
Epoch 255/300, Train Acc: 0.8324, Test Acc: 0.8214
Epoch 256/300, Train Acc: 0.8369, Test Acc: 0.8167
Epoch 257/300, Train Acc: 0.8232, Test Acc: 0.8119
Epoch 258/300, Train Acc: 0.8396, Test Acc: 0.8095
Epoch 259/300, Train Acc: 0.8399, Test Acc: 0.8083
Epoch 260/300, Train Acc: 0.8387, Test Acc: 0.8167
Epoch 261/300, Train Acc: 0.8280, Test Acc: 0.8083
Epoch 262/300, Train Acc: 0.8289, Test Acc: 0.7964
Epoch 263/300, Train Acc: 0.8429, Test Acc: 0.8238
Epoch 264/300, Train Acc: 0.8310, Test Acc: 0.8250
Epoch 265/300, Train Acc: 0.8372, Test Acc: 0.8012
Epoch 266/300, Train Acc: 0.8446, Test Acc: 0.8071
Epoch 267/300, Train Acc: 0.8357, Test Acc: 0.8083
Epoch 268/300, Train Acc: 0.8327, Test Acc: 0.8000
Epoch 269/300, Train Acc: 0.8318, Test Acc: 0.8226
Epoch 270/300, Train Acc: 0.8429, Test Acc: 0.8179
Epoch 271/300, Train Acc: 0.8432, Test Acc: 0.8036
Epoch 272/300, Train Acc: 0.8378, Test Acc: 0.8167
Epoch 273/300, Train Acc: 0.8313, Test Acc: 0.8179
Epoch 274/300, Train Acc: 0.8414, Test Acc: 0.8071
Epoch 275/300, Train Acc: 0.8301, Test Acc: 0.8286
Epoch 276/300, Train Acc: 0.8348, Test Acc: 0.8238
Epoch 277/300, Train Acc: 0.8339, Test Acc: 0.8167
Epoch 278/300, Train Acc: 0.8521, Test Acc: 0.8274
Epoch 279/300, Train Acc: 0.8354, Test Acc: 0.8155
Epoch 280/300, Train Acc: 0.8381, Test Acc: 0.8190
Epoch 281/300, Train Acc: 0.8402, Test Acc: 0.8238
Epoch 282/300, Train Acc: 0.8440, Test Acc: 0.8179
Epoch 283/300, Train Acc: 0.8405, Test Acc: 0.8179
Early stopping triggered.

📘 Final Classification Metrics
----------------------------------------
Train Accuracy : 0.8699
Train Precision: 0.8382
Train Recall   : 0.9134
Train F1 Score : 0.8742
Train Loss     : 0.3662
----------------------------------------
Test Accuracy  : 0.8238
Test Precision : 0.8147
Test Recall    : 0.8488
Test F1 Score  : 0.8314
Test Loss      : 0.4190
----------------------------------------
Execution time : 3.94 minutes
📁 Metrics and plots saved in 'plots/' folder
