Processing...
Done!
Binary class counts: Counter({0: 2104, 1: 2088})
Epoch 187/300, Train Acc: 0.7683, Test Acc: 0.7795
Epoch 188/300, Train Acc: 0.7736, Test Acc: 0.7533
Epoch 189/300, Train Acc: 0.7730, Test Acc: 0.7831
Epoch 190/300, Train Acc: 0.7811, Test Acc: 0.7712
Epoch 191/300, Train Acc: 0.7742, Test Acc: 0.7557
Epoch 192/300, Train Acc: 0.7874, Test Acc: 0.7771
Epoch 193/300, Train Acc: 0.7590, Test Acc: 0.7664
Epoch 194/300, Train Acc: 0.7730, Test Acc: 0.7747
Epoch 195/300, Train Acc: 0.7659, Test Acc: 0.7473
Epoch 196/300, Train Acc: 0.7680, Test Acc: 0.7497
Epoch 197/300, Train Acc: 0.7790, Test Acc: 0.7902
Epoch 198/300, Train Acc: 0.7799, Test Acc: 0.7759
Epoch 199/300, Train Acc: 0.7739, Test Acc: 0.7831
Epoch 200/300, Train Acc: 0.7659, Test Acc: 0.7723
Epoch 201/300, Train Acc: 0.7772, Test Acc: 0.7735
Epoch 202/300, Train Acc: 0.7701, Test Acc: 0.7747
Epoch 203/300, Train Acc: 0.7736, Test Acc: 0.7723
Epoch 204/300, Train Acc: 0.7712, Test Acc: 0.7819
Epoch 205/300, Train Acc: 0.7754, Test Acc: 0.7747
Epoch 206/300, Train Acc: 0.7754, Test Acc: 0.7676
Epoch 207/300, Train Acc: 0.7778, Test Acc: 0.7676
Epoch 208/300, Train Acc: 0.7739, Test Acc: 0.7723
Epoch 209/300, Train Acc: 0.7868, Test Acc: 0.7533
Epoch 210/300, Train Acc: 0.7805, Test Acc: 0.7569
Epoch 211/300, Train Acc: 0.7823, Test Acc: 0.7759
Epoch 212/300, Train Acc: 0.7757, Test Acc: 0.7747
Epoch 213/300, Train Acc: 0.7799, Test Acc: 0.7807
Epoch 214/300, Train Acc: 0.7781, Test Acc: 0.7795
Epoch 215/300, Train Acc: 0.7859, Test Acc: 0.7676
Epoch 216/300, Train Acc: 0.7835, Test Acc: 0.7735
Epoch 217/300, Train Acc: 0.7847, Test Acc: 0.7676
Epoch 218/300, Train Acc: 0.7790, Test Acc: 0.7676
Epoch 219/300, Train Acc: 0.7894, Test Acc: 0.7783
Epoch 220/300, Train Acc: 0.7683, Test Acc: 0.7771
Epoch 221/300, Train Acc: 0.7826, Test Acc: 0.7545
Epoch 222/300, Train Acc: 0.7784, Test Acc: 0.7747
Epoch 223/300, Train Acc: 0.7775, Test Acc: 0.7592
Epoch 224/300, Train Acc: 0.7784, Test Acc: 0.7747
Epoch 225/300, Train Acc: 0.7930, Test Acc: 0.7700
Epoch 226/300, Train Acc: 0.7918, Test Acc: 0.7735
Epoch 227/300, Train Acc: 0.7799, Test Acc: 0.7807
Epoch 228/300, Train Acc: 0.7874, Test Acc: 0.7771
Epoch 229/300, Train Acc: 0.7826, Test Acc: 0.7712
Epoch 230/300, Train Acc: 0.7865, Test Acc: 0.7616
Epoch 231/300, Train Acc: 0.7874, Test Acc: 0.7843
Epoch 232/300, Train Acc: 0.7933, Test Acc: 0.7783
Epoch 233/300, Train Acc: 0.7814, Test Acc: 0.7604
Epoch 234/300, Train Acc: 0.7933, Test Acc: 0.7616
Epoch 235/300, Train Acc: 0.7877, Test Acc: 0.7747
Epoch 236/300, Train Acc: 0.7951, Test Acc: 0.7771
Epoch 237/300, Train Acc: 0.7844, Test Acc: 0.7759
Epoch 238/300, Train Acc: 0.7880, Test Acc: 0.7795
Epoch 239/300, Train Acc: 0.8029, Test Acc: 0.7831
Epoch 240/300, Train Acc: 0.7897, Test Acc: 0.7664
Epoch 241/300, Train Acc: 0.7894, Test Acc: 0.7509
Epoch 242/300, Train Acc: 0.7865, Test Acc: 0.7747
Epoch 243/300, Train Acc: 0.7868, Test Acc: 0.7855
Epoch 244/300, Train Acc: 0.7865, Test Acc: 0.7700
Epoch 245/300, Train Acc: 0.7891, Test Acc: 0.7890
Epoch 246/300, Train Acc: 0.7915, Test Acc: 0.7926
Epoch 247/300, Train Acc: 0.7820, Test Acc: 0.7867
Epoch 248/300, Train Acc: 0.7924, Test Acc: 0.7747
Epoch 249/300, Train Acc: 0.7981, Test Acc: 0.7807
Epoch 250/300, Train Acc: 0.7856, Test Acc: 0.7819
Epoch 251/300, Train Acc: 0.7874, Test Acc: 0.7807
Epoch 252/300, Train Acc: 0.7906, Test Acc: 0.7867
Epoch 253/300, Train Acc: 0.8017, Test Acc: 0.7795
Epoch 254/300, Train Acc: 0.7999, Test Acc: 0.7771
Epoch 255/300, Train Acc: 0.7903, Test Acc: 0.7783
Epoch 256/300, Train Acc: 0.7924, Test Acc: 0.7938
Epoch 257/300, Train Acc: 0.7909, Test Acc: 0.7735
Epoch 258/300, Train Acc: 0.7885, Test Acc: 0.7795
Epoch 259/300, Train Acc: 0.7909, Test Acc: 0.7771
Epoch 260/300, Train Acc: 0.7912, Test Acc: 0.7843
Epoch 261/300, Train Acc: 0.7856, Test Acc: 0.7735
Epoch 262/300, Train Acc: 0.7969, Test Acc: 0.7867
Epoch 263/300, Train Acc: 0.7868, Test Acc: 0.7735
Epoch 264/300, Train Acc: 0.8005, Test Acc: 0.7843
Epoch 265/300, Train Acc: 0.7888, Test Acc: 0.7819
Epoch 266/300, Train Acc: 0.7969, Test Acc: 0.7926
Epoch 267/300, Train Acc: 0.7972, Test Acc: 0.7867
Epoch 268/300, Train Acc: 0.7957, Test Acc: 0.7843
Epoch 269/300, Train Acc: 0.8020, Test Acc: 0.7878
Epoch 270/300, Train Acc: 0.7981, Test Acc: 0.7878
Epoch 271/300, Train Acc: 0.8011, Test Acc: 0.7938
Epoch 272/300, Train Acc: 0.7981, Test Acc: 0.7819
Epoch 273/300, Train Acc: 0.8005, Test Acc: 0.7712
Epoch 274/300, Train Acc: 0.7915, Test Acc: 0.7902
Epoch 275/300, Train Acc: 0.7927, Test Acc: 0.7771
Epoch 276/300, Train Acc: 0.8067, Test Acc: 0.7831
Epoch 277/300, Train Acc: 0.7993, Test Acc: 0.7843
Epoch 278/300, Train Acc: 0.8050, Test Acc: 0.7867
Epoch 279/300, Train Acc: 0.8136, Test Acc: 0.7878
Epoch 280/300, Train Acc: 0.8032, Test Acc: 0.7890
Epoch 281/300, Train Acc: 0.8052, Test Acc: 0.7843
Epoch 282/300, Train Acc: 0.8047, Test Acc: 0.7783
Epoch 283/300, Train Acc: 0.8020, Test Acc: 0.7807
Epoch 284/300, Train Acc: 0.7972, Test Acc: 0.7831
Epoch 285/300, Train Acc: 0.8067, Test Acc: 0.8069
Epoch 286/300, Train Acc: 0.7960, Test Acc: 0.7867
Epoch 287/300, Train Acc: 0.8011, Test Acc: 0.7819
Epoch 288/300, Train Acc: 0.7969, Test Acc: 0.7902
Epoch 289/300, Train Acc: 0.8032, Test Acc: 0.7843
Epoch 290/300, Train Acc: 0.8079, Test Acc: 0.7938
Epoch 291/300, Train Acc: 0.7933, Test Acc: 0.7914
Epoch 292/300, Train Acc: 0.8035, Test Acc: 0.7855
Epoch 293/300, Train Acc: 0.8044, Test Acc: 0.7926
Epoch 294/300, Train Acc: 0.8052, Test Acc: 0.7962
Epoch 295/300, Train Acc: 0.8097, Test Acc: 0.7926
Epoch 296/300, Train Acc: 0.8041, Test Acc: 0.7807
Epoch 297/300, Train Acc: 0.8100, Test Acc: 0.7521
Epoch 298/300, Train Acc: 0.8094, Test Acc: 0.7855
Epoch 299/300, Train Acc: 0.8005, Test Acc: 0.7819
Epoch 300/300, Train Acc: 0.8073, Test Acc: 0.7950

📘 Final Classification Metrics
----------------------------------------
Train Accuracy : 0.8324
Train Precision: 0.7951
Train Recall   : 0.8933
Train F1 Score : 0.8413
Train Loss     : 0.4172
----------------------------------------
Test Accuracy  : 0.7950
Test Precision : 0.7780
Test Recall    : 0.8262
Test F1 Score  : 0.8014
Test Loss      : 0.4359
----------------------------------------
Execution time : 3.51 minutes
📁 Metrics and plots saved in 'plots/' folder
